Year,City,Brand,Model,Variant,Price,Old Price,Savings,Transmission,Fuel_Type,KM_Driven
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
2024,delhi,Renault,Kiger,RXZ Turbo CVT,785000,785000,0,Automatic,Petrol,16524
2024,delhi,Kia,Sonet,HTK Plus,840000,840000,0,Manual,Petrol,10000
2022,delhi,Renault,Kiger,RXZ,575000,575000,0,Manual,Petrol,50214
2024,delhi,Nissan,Magnite,XV,680000,680000,0,Manual,Petrol,19000
2022,delhi,Renault,Kiger,RXT Opt,550000,550000,0,Manual,Petrol,14464
2022,delhi,Kia,Sonet,HTX Turbo iMT BSVI,800000,800000,0,Manual,Petrol,37741
2023,delhi,Maruti,Alto,K10 LXI,343000,343000,0,Manual,Petrol,49160
2022,delhi,Maruti,Alto,K10 VXI Plus,335000,383000,48437,Manual,Petrol,26491
2023,delhi,Maruti,Alto,K10 STD,305000,350000,45000,Manual,Petrol,11539
2025,delhi,Nissan,Magnite,N Connecta,787000,787000,0,Manual,Petrol,2200
2023,delhi,MG,Astor,Style MT,745000,745000,0,Manual,Petrol,23000
2023,delhi,Maruti,Alto,K10 VXI Plus,415000,415000,0,Manual,Petrol,11000
2021,delhi,Renault,Kiger,RXL,478000,478000,0,Manual,Petrol,32000
2023,delhi,Mercedes-Benz,GLB,200 Progressive Line,5600000,5600000,0,Automatic,Petrol,20000
2024,delhi,Hyundai,Venue,SX Opt Knight Turbo DCT DT,1100000,1100000,0,Automatic,Petrol,14000
2024,delhi,Kia,Sonet,Gravity,970000,970000,0,Manual,Petrol,16000
2022,delhi,Renault,Kiger,RXT Opt,492000,492000,0,Manual,Petrol,65000
2024,delhi,MG,Astor,Select CVT,1250000,1250000,0,Automatic,Petrol,20000
2022,delhi,Renault,Kiger,RXT,645000,645000,0,Manual,Petrol,11737
2023,delhi,Maruti,Alto,K10 VXI Plus,520000,520000,0,Manual,Petrol,4600
